"","video_id","cloneset_id","cloneset_video_count","cloneset_scraping_count","capture_time","video_published_date","video_updated_date","video_keyword_count","video_category_count","video_duration","video_viewcount","video_favourite_count","video_rating_count","video_rating_min","video_rating_max","video_rating_average","video_comments_count","like_count","dislike_count","uploader_id","uploader_followers_count","uploader_video_count","uploader_contacts_count","uploader_total_viewcount","uploader_age","max_quality","video_age"
"1","-_2cExc-aLA",19,72,0,"2011-02-21T00:02:41-06:00","2010-10-14T16:12:53.000Z","2011-01-27T22:29:57.000Z",6,1,306,3360,9,1,1,5,5,0.1,1,0.1,"asif1ly",32,7,1,509537,26,5,129.367916666667
"2","-_2cExc-aLA",19,72,1,"2011-02-28T00:07:44-06:00","2010-10-14T16:12:53.000Z","2011-01-27T22:29:57.000Z",6,1,306,3496,9,1,1,5,5,0.1,1,0.1,"asif1ly",32,7,1,516728,26,5,136.371423611111
"3","-_2cExc-aLA",19,72,2,"2011-03-07T00:12:48-06:00","2010-10-14T16:12:53.000Z","2011-01-27T22:29:57.000Z",6,1,306,3653,9,1,1,5,5,0.1,1,0.1,"asif1ly",32,7,1,522242,26,5,143.37494212963
"4","-_ypsxZ-3RE",47,58,0,"2011-04-12T00:16:52-06:00","2011-03-29T13:31:52.000Z","2011-03-30T14:04:55.000Z",8,1,279,14,0.1,1,1,5,5,0.1,1,0.1,"AsadKhan65",0.1,28,0.1,1220,20,2,13.4479166666667
"5","-_ypsxZ-3RE",47,58,1,"2011-04-19T00:27:36-06:00","2011-03-29T13:31:52.000Z","2011-03-30T14:04:55.000Z",8,1,279,14,0.1,1,1,5,5,0.1,1,0.1,"AsadKhan65",0.1,28,0.1,1321,20,2,20.4553703703704
"6","-_ypsxZ-3RE",47,58,2,"2011-04-26T00:39:09-06:00","2011-03-29T13:31:52.000Z","2011-04-25T22:04:09.000Z",8,1,279,14,0.1,1,1,5,5,0.1,1,0.1,"AsadKhan65",0.1,28,0.1,1386,20,2,27.4633912037037
"7","-5T2dnZEr38",16,51,0,"2011-04-12T00:04:58-06:00","2009-02-26T19:18:30.000Z","2011-04-11T17:23:54.000Z",6,1,298,120086,107,37,1,5,4.783784,14,35.000002,1.99999800000001,"firozchakkachan",25,12,0.1,129488,28,1,774.157268518519
"8","-5T2dnZEr38",16,51,1,"2011-04-19T00:10:36-06:00","2009-02-26T19:18:30.000Z","2011-04-18T07:01:35.000Z",6,1,298,122000,109,38,1,5,4.7894735,14,35.99999825,2.00000175,"firozchakkachan",26,12,0.1,131528,28,1,781.161180555556
"9","-5T2dnZEr38",16,51,2,"2011-04-26T00:18:09-06:00","2009-02-26T19:18:30.000Z","2011-04-18T07:01:35.000Z",6,1,298,124113,110,38,1,5,4.7894735,14,35.99999825,2.00000175,"firozchakkachan",26,12,0.1,133837,28,1,788.166423611111
"10","-A4-mX8D5uc",25,84,0,"2011-04-21T08:11:20-06:00","2009-09-27T15:13:37.000Z","2010-11-06T05:36:32.000Z",2,1,341,1450,1,2,1,5,3,0.1,1,1,"038427",2,12,0.1,22800,28,1,570.706747685185
